Titre,image,like_lien,rightstoryteaser_acontainsclass_blacklink,rightpromosection
DÉCÈS D’UN MARCHAND AMBULANT SÉNÉGALAIS À SÉVILLE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/sevil.jpg?itok=YzyLOQDA,https://www.seneplus.com/societe/deces-dun-marchand-ambulant-senegalais-seville,"Mamouth Bakhoum, un marchand ambulant sénégalais de 43 ans ,est décédé le dimanche 28 décembre 2024 dans le fleuve Guadalquivir à Séville, en Espagne, alors qu’il tentait d’échapper à la police. Originaire de Porokhane, il laisse derrière lui une épouse et des enfants. Les sapeurs pompiers ...",Commentaires
"HAUTE COUR DE JUSTICE, LE DÉFI DE L’IMPARTIALITÉ - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/whatsapp_image_2024-12-28_at_17.04.24_0.jpeg?itok=obCcIRbm,https://www.seneplus.com/politique/haute-cour-de-justice-le-defi-de-limpartialite,"Sans possibilité de recours, sans garantie d'impartialité des juges, la Haute cour de justice part avec une grande faiblesse, qu'il urge de corriger, afin que les décisions qui en seraient issues soient au-dessus de tout soupçon. Les dés sont jetés. La majorité parlementaire a installé ses juges, ...",Commentaires
UN PLAIDOYER POUR LA DECENTRALISATION DES POLITIQUES - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/osy_ouvrage.jpg?itok=KTyrVOwk,https://www.seneplus.com/culture/un-plaidoyer-pour-la-decentralisation-des-politiques,"L’ouvrage, de Cheikh Oumar Sy Djamil, intitulé «A l'ombre du bénteñe: naissance d'une passion pour la ville», a été présenté au public. Ce livre retrace le vécu de l’auteur, un responsable administratif et financier, dans la commune de Gueule tapée-Fass-Colobane.il prône une citoyenneté ...",Commentaires
MACKY SALL PREND SES DISTANCES AVEC L’APR - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/apr_macky_8.jpg?itok=W7cjPMs9,https://www.seneplus.com/politique/macky-sall-prend-ses-distances-avec-lapr, Macky Sall ne va plus diriger l’Alliance pour la République (Apr). La décision a été confirmée par le principal concerné à la presse. Macky Sall va se contenter d’un rôle honorifique et souhaite se concentrer sur ses activités à l’étranger. L’Apr va organiser un congrès pour acter ...,Commentaires
DANS L’HISTOIRE DE 86.6 ! - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/64263782_1006.jpg?itok=tMK0XoVC,https://www.seneplus.com/economie/dans-lhistoire-de-866,"Le projet de loi de finances 2025 a été adopté, samedi, sans débat, par l’Assemblée nationale sur la base de l’article 86.6 de la Constitution invoqué par l’Exécutif, qui a évoqué le temps court pour tenir les plénières. Mais du côté de l’opposition, des parlementaires dont Abdou ...",Commentaires
"SONKO A MONTRE DE L'AMBITION, DE LA FOI ET DU VOLONTARISME - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/altine_3.jpg?itok=sREdKdY8,https://www.seneplus.com/politique/sonko-montre-de-lambition-de-la-foi-et-du-volontarisme,Le premier ministre a mené de main de maître sa déclaration de politique générale (DpG) vendredi dernier devant les députés nouvellement installés de la 15e législature. un exercice à travers lequel Ousmane Sonko a dévoilé sa posture d’homme d’Etat capable d’assumer une rupture paradigmatique ...,Commentaires
LE MANDAT D’EXÉCUTION POUR LE PROJET D’ALIMENTATION EN EAU POTABLE DE TOUBA SIGNÉ - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/whatsapp-image-2024-12-30-at-20.45.17.jpeg?itok=3lXaJqMm,https://www.seneplus.com/societe/le-mandat-dexecution-pour-le-projet-dalimentation-en-eau-potable,"Le ministre de l’Hydraulique et de l’Assainissement, Dr Cheikh Tidiane Dieye, a procédé ce lundi à la signature du mandat d’exécution du Projet d’Alimentation en Eau Potable Durable pour Touba et ses environs.  Ce projet ambitieux s’inscrit dans le cadre du Grand Transfert d’Eau (GTE) ...",Commentaires
L’ANSFES PLAIDE POUR L’APPLICATION DE LA LOI SUR L’ORDRE DES SAGES-FEMMES - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/saeg.jpg?itok=bqKzrJsz,https://www.seneplus.com/societe/lansfes-plaide-pour-lapplication-de-la-loi-sur-lordre-des-sages,"L’Association nationale des sages-femmes d’État du Sénégal (ANSFES) a demandé, lundi, à Dakar, l’application effective de la loi portant création de l’Ordre des sages-femmes et maïeuticiens, votée le 20 janvier 2017, en vue de « garantir des soins de qualité » dans les domaines sanitaires ...",Commentaires
DEUX ANS DE PRISON POUR UN OPPOSANT MALIEN - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/keourt.jpg?itok=SPUCF4OD,https://www.seneplus.com/international/deux-ans-de-prison-pour-un-opposant-malien,"Un tribunal de Bamako a condamné lundi à deux ans de prison dont un ferme l'opposant malien Issa Kaou N'Djim pour avoir critiqué les militaires au pouvoir au Burkina Faso voisin, ont indiqué à l'AFP une source judiciaire et sa famille. L'opposant Issa Kaou N'Djim, figure politique malienne, avait ...",Commentaires
RÉVÉLATIONS SUR UN DOSSIER SULFUREUX - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/15319282_1187906417958633_7269213152564943251_n.jpg?itok=mQ2tf1n2,https://www.seneplus.com/politique/revelations-sur-un-dossier-sulfureux,"C'est une affaire rocambolesque qui n'a pas encore livré tous ses secrets. À la suite de la révélation du Premier ministre Ousmane Sonko, lors de sa déclaration de politique générale devant les députés de l'Assemblée nationale, ‘’EnQuête’’ a essayé d'en savoir plus sur cette affaire ...",Commentaires
L'IMPOSTURE PANAFRICAINE DE DROITE DE SONKO SUR LE CFA - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/capture_decran_2024-12-30_a_00.17.29.png?itok=vvzjXDUV,https://www.seneplus.com/opinions/lim-posture-panafricaine-de-droite-de-sonko-sur-le-cfa,"En réponse au ""Zemmour de Ndoumbelane,"" Tahirou Sarr, Ousmane Sonko s’est proclamé panafricaniste à plusieurs reprises au sein de l’hémicycle. Mais être panafricaniste ne se limite pas à se draper dans des mots. Le panafricanisme, c’est l’action collective pour l’émancipation des peuples ...",Commentaires
VEILLÉES AFRICAINES DE NDÈYE ASTOU NDIAYE OU L’ART DU RÉCIT INITIATIQUE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/1_bguwbdfwu_obskppxlqsiw.jpg?itok=wNBy094d,https://www.seneplus.com/opinions/veillees-africaines-de-ndeye-astou-ndiaye-ou-lart-du-recit,,Commentaires
ET OUSMANE SONKO PLAGIE MAME MADIOR BOYE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/sans_titre_11.png?itok=O1UPGyYZ,https://www.seneplus.com/opinions/et-ousmane-sonko-plagie-mame-madior-boye,"Par leur impardonnable faute, les élites de tous les pays du monde cantonnèrent celles et ceux dont le très lourd fardeau que leur impose l’ignorance ne s’allège pas pour cause de non accès, à l’éducation, l’information et la culture, dénoncé par toutes les déclarations des droits de ...",Commentaires
MORT DE JIMMY CARTER - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/image_27.jpg?itok=QkAGNkXn,https://www.seneplus.com/international/mort-de-jimmy-carter,"(SenePlus) - D'après la presse américaine, Jimmy Carter, 39e président des États-Unis et lauréat du prix Nobel de la paix, s'est éteint le 29 décembre 2024 à l'âge de 100 ans. Son parcours politique débute dans un contexte particulier. Comme le relate RFI, lors de sa candidature en 1974, il ...",Commentaires
QUEL REGARD SUR L'HÉRITAGE DE TIRAILLEURS ? - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/histoires_crepues_-_traitres_ou_heros_la_vraie_histoire_des_tirailleurs_senegalais_upztznekppw_-_853x480_-_3m21s.png?itok=P5T7u_Fb,https://www.seneplus.com/opinions/quel-regard-sur-lheritage-de-tirailleurs,"La justesse de la réhabilitation humaine et de la réhabilitation matérielle des tirailleurs ne devrait souffrir d’aucune contestation de la part de tout individu tant soi démocrate et/ou sincère. Par contre, la réhabilitation mémorielle est questionnable si on n’essaie pas de l’approfondir ...",Commentaires
"SONKO, LA LUNE ET LE DOIGT  - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/oumou_wane_7222_0_0_0_0_0_0_1_9.jpg?itok=f4u7Q3FI,https://www.seneplus.com/opinions/sonko-la-lune-et-le-doigt,"« Lorsque l’on te montre la lune, tu regardes le doigt », a lancé le Premier ministre au député Abdou Mbow, las et exaspéré par celui à qui il ne semble pas vouer d’animosité particulière, allant jusqu’à se demander comment le sauver si tant est que cela soit encore possible. Une pique ...",Commentaires
FELWINE EXPLORE LE SENS DU LIEU - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/felw.png?itok=HKsV1dKx,https://www.seneplus.com/seneplus-tv/felwine-sarr-explore-le-sens-du-lieu,,Commentaires
LA FRANCE REVIENT PAR LA PETITE PORTE EN RCA - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/unnamed_88.jpg?itok=sagv0L4-,https://www.seneplus.com/seneplus-tv/la-france-revient-par-la-petite-porte-en-rca,"La République centrafricaine et la France amorcent un rapprochement stratégique inattendu, six ans après leur rupture diplomatique. Cette réconciliation, initiée début 2023, marque un tournant dans les relations entre les deux pays. Le processus de rapprochement a débuté lors d'une rencontre ...",Commentaires
