Titre,image,like_lien,rightstoryteaser_acontainsclass_blacklink,rightpromosection
"FATOU NDIAYE SOW, UNE POÉSIE POUR LA MÉMOIRE - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/senegal_goree_8_0.jpg?itok=7-603Hza,https://www.seneplus.com/opinions/fatou-ndiaye-sow-une-poesie-pour-la-memoire,,Commentaires
AU COMMENCEMENT ÉTAIT LE VODOU… - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/gbodoss.png?itok=QaWwPPf0,https://www.seneplus.com/seneplus-tv/au-commencement-etait-le-vodou,,Commentaires
L'AFRIQUE PEUT MARQUER LA DIPLOMATIE PAR SA GASTRONOMIE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/kopogo.png?itok=cUfZ8gW2,https://www.seneplus.com/seneplus-tv/lafrique-peut-marquer-la-diplomatie-par-sa-gastronomie,"La cuisine est l’un des éléments que l’Afrique peut apporter à la mondialisation en termes de soft power (influence) aux autres peuples. À Dakar, Table Pana organise depuis quelques années des rencontres avec des chefs africains de la diaspora pour leur permettre de partager leurs expériences ...",Commentaires
NGOR GARDE L'ESPRIT MAMBETY - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/8c3a1677-4e39-4551-80ad-a3756b62ee4a_djibrildiopmambety.jpg?itok=M8bQU7Pd,https://www.seneplus.com/culture/ngor-garde-lesprit-mambety,"(SenePlus) - Le cinéaste sénégalais Djibril Diop Mambety aurait célébré ses 80 ans aujourd'hui. Bien que disparu en 1998 à Paris, son esprit créatif continue d'habiter l'île de Ngor grâce à ses fidèles compagnons, les ""Mambety Boys"", comme le rapporte RFI dans un récent reportage. L'auteur ...",Commentaires
LE CRI D'ALARME DE MOUSSA FAKI - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/capture_decran_2025-01-26_a_10.10.45.png?itok=2Y3qboT-,https://www.seneplus.com/international/le-cri-dalarme-de-moussa-faki,"(SenePlus) - Dans un document exclusif obtenu par Jeune Afrique, le président sortant de la Commission de l'Union africaine (UA), Moussa Faki Mahamat, dresse un bilan sans concession de l'organisation panafricaine. Cette missive de trois pages, datée du 30 septembre et intitulée ""Questions urgentes ...",Commentaires
POUR LA LÉGALISATION DE L'AVORTEMENT MEDICALISÉ - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/accouchement_.jpg?itok=rQziMyA3,https://www.seneplus.com/sante/avortement-medicalise-des-organisations-de-defense-des-droits-de,"Malgré la loi le criminalisant, le viol prend des proportions alarmantes au Sénégal avec son lot conséquences dont la grossesse. Dans le dernier rapport de l’Ansd, on note qu’un peu plus de 30% de victimes de violences faites aux femmes sont des mineures de moins de 16 ans. Hier, la Fédération ...",Commentaires
"A DAKAR, LES BOUTIQUES DE DROIT ONT RECENSE PLUS DE 90 CAS DE VIOL - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/viol_11.jpg?itok=3pv9Nqxa,https://www.seneplus.com/femmes/dakar-les-boutiques-de-droit-ont-recense-plus-de-90-cas-de-viol,"La chargée de projets à l’Association des juristes sénégalaises, Mme Sène, a soutenu qu’en conclusion de la mission de plaidoyer qui a pris fin, hier, la Fidh (Fédération internationale des droits humains) et ses trois organisations membres au Sénégal – la Lsdh, l’Ondh et la Raddho -, ...",Commentaires
VIGILANCE FACE À LA MONTEE DES DISCOURS ETHNICISTES  - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/153168550_m_normal_none-scaled.jpg?itok=HXGj6LtK,https://www.seneplus.com/opinions/vigilance-face-la-montee-des-discours-ethnicistes,"""Saytaane waxul dëgg waaye yàq nam xel"" – Proverbe wolof(« Satan ne dit pas la vérité mais provoque le doute ») Ne négocions jamais notre vivre ensemble ! Le Sénégal, pays d’équilibre et de résilience, a toujours su surmonter les épreuves pour préserver son unité et sa stabilité. ...",Commentaires
PRIÈRE D’UN ENFANT TALIBÉ - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/capturfiles-05-42-2015_04.42.37.jpg?itok=BceZKOHL,https://www.seneplus.com/opinions/priere-dun-enfant-talibe,"Ô mon Dieu, pourquoi suis-je destiné à être cet être que tout le monde balaie du regard dans les rues ? Et surtout dans les rues de Dakar, où nous pullulons tels des rats d’égout. Ô bon Dieu, pourquoi tant de pitié envers l’être que je suis ? Pourquoi un tel évitement du regard des ...",Commentaires
LE MARIAGE N'OBLIGE PAS AU SEXE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/capture_decran_2025-01-26_a_10.26.24.png?itok=aptE7UWR,https://www.seneplus.com/femmes/le-mariage-noblige-plus-au-sexe,"(SenePlus) - Dans un arrêt historique rendu jeudi 23 janvier, la Cour européenne des droits de l'homme (CEDH) a condamné la France pour avoir considéré comme fautive une femme qui avait refusé des relations sexuelles à son mari. Cette décision fait jurisprudence en matière de droits des femmes ...",Commentaires
ET SI LE SÉNÉGAL REFUSAIT LE DÉVELOPPEMENT ? - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/gbodo.png?itok=zg0Sc1_I,https://www.seneplus.com/seneplus-tv/et-si-le-senegal-refusait-le-developpement,,Commentaires
"PILOHA, UN COCKTAIL CULTUREL  RÉCONCILIATEUR - ",https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/raiss.png?itok=OahsJ1He,https://www.seneplus.com/seneplus-tv/piloha-un-cocktail-culturel-reconciliateur,"La 15e édition du Dak'Art a marqué les esprits, et certains projets artistiques restent mémorables, à l’image de Piloha, de Pascal Traoré et Raïssa Hachem, qui ont proposé un cocktail culturel réconciliant plusieurs formes d’expression. Une exposition composite, pour ne pas dire éclectique. À ...",Commentaires
NI ETHNIE NI STATUT AU DESSUS DES LOIS - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/oumou_wane_2_0_10_1.jpeg?itok=Ffc2z6XY,https://www.seneplus.com/opinions/ni-ethnie-ni-statut-au-dessus-des-lois,"Jusqu’à preuve du contraire, nous sommes toujours en démocratie. Alors pourquoi ce battage médiatique, dès lors qu’il s’agit, dans le cadre d'une enquête préliminaire, de permettre à un député d'être entendu par la Justice, comme n'importe quel autre citoyen d’ailleurs, afin de pouvoir ...",Commentaires
KHADY DIENE GAYE LANCE LA DIRECTION GENERALE DES SPORTS - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/sport_kg.jpg?itok=yrIV8H_8,https://www.seneplus.com/sports/khady-diene-gaye-lance-la-direction-generale-des-sports,"C’était dans les tuyaux, suite au décret portant organisation du ministère de la Jeunesse, des sports et de la culture. La Direction générale des sports voit le jour. L’annonce vient du communiqué du Conseil des ministres de mercredi dernier. Et sur proposition de la ministre des Sports, c’est ...",Commentaires
LE JARAAF SE RELANCE ET ENFONCE TENGUETH FC - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/whatsapp_image_2025-01-25_at_21.36.13.jpeg?itok=l9EZUZ0V,https://www.seneplus.com/sports/le-jaraaf-se-relance-et-enfonce-tengueth-fc,"Dakar 25 jan (APS)- Le Jaraaf de Dakar a dominé (3-2) Tengueth FC samedi lors d’un match en retard comptant pour la 10e journée de la Ligue de football, plongeant le champion en titre dans une spirale de mauvais résultats. Mené par Tengueth dès la 7e mn grâce à un but de Malick Ndoye, le Jaraaf ...",Commentaires
JE N’AI JAMAIS TRAITÉ LES MILITANT-E- DE PASTEF DE TERRORISTES - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/aoua_bocar_a_la_marche_silencieuse_contre_le_report_des_elections_au_senegal.jpg?itok=1vVGZvJD,https://www.seneplus.com/opinions/je-nai-jamais-traite-les-militant-e-de-pastef-de-terroristes,"Je n’avais jamais su pourquoi certaines personnes m’accusaient d’avoir traité les militant-e-s de Pastef de terroristes. Avant, je le mettais simplement sur le compte d’une campagne de salissage dans les réseaux sociaux que les gens subissent de nos jours ici et sous d’autres cieux. Je ne ...",Commentaires
DE LA VANITÉ DU POUVOIR - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/vs_8.jpg?itok=xrvTpzoG,https://www.seneplus.com/opinions/de-la-vanite-du-pouvoir,"Soixante ans après les faits, le journaliste Vieux Savané revenait en 2022 sur l'une des crises majeures de l'histoire politique sénégalaise. Le 17 décembre 1962, Mamadou Dia, président du Conseil de gouvernement, était arrêté dans sa résidence de la Médina par des parachutistes. Cette arrestation, ...",Commentaires
BUSINESS FAMILIAL EN PLEINE RUE - ,https://www.seneplus.com/sites/default/files/styles/full_column/public/raw_photos/salagueye_1.jpg?itok=-9xQKs23,https://www.seneplus.com/opinions/business-familial-en-pleine-rue,"Dakar, capitale de la convivialité, de l’hospitalité et, apparemment, du business florissant des mendiants. Si vous traversez la ville, vous ne pouvez pas les manquer. Ce ne sont pas seulement des individus isolés, non, ils ont formé des « familles d’affaires » bien structurées. Le père, ...",Commentaires
