Titre,Lien_du_titre,image,module_main_post_categorey,post_meta,post_meta1,post_meta2
"12 MORTS DANS UN ACCIDENT DE LA ROUTE, CE MARDI : LES EXPLICATIONS DU MINISTRE YANKHOBA DIÉMÉ",https://www.seneweb.com/news/Societe/12-morts-dans-un-accident-de-la-route-ce_n_461783.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_10763af82ccb9a3d9da45e98336d698900209634.png,Societe,Le ministre des Infrastructures et des Transports terrestres et aériens du Sénégal s’est exprimé sur l’accident mortel survenu ce mardi.,"1 
   Lectures","0 Commentaires 
   "
"LE PASSAGE DE NEYMAR À AL-HILAL, UN FIASCO EN CHIFFRES",https://www.seneweb.com/news/Sport/le-passage-de-neymar-a-al-hilal-un-fiasc_n_461782.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_af48007332f70f37133ddf0a1a11a0df22e92937.jpg,Sport,"Si la venue d'une superstar comme Neymar à l'été 2023 fut un énorme coup marketing pour l'Arabie saoudite, son rendement sportif aura été d'une...","56 
   Lectures","0 Commentaires 
   "
MORT DU JEUNE MOUSTAPHA DIENG LORS D’UN MATCH NAVETANE : 5 SUPPORTERS DE L’ASC FARBA ENVOYÉ EN PRISON,https://www.seneweb.com/news/Societe/mort-du-jeune-moustapha-dieng-lors-d-rsq_n_461781.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_080ac44e3287f8c373416148fcb4fc56714ef030.jpeg,Societe,"Le doyen des juges d’instruction du tribunal de Pikine-Guédiawaye a inculpé, ce mardi, cinq jeunes, dont un mineur de l’ASC Farba de Keur Massar, impliqués...","86 
   Lectures","0 Commentaires 
   "
MODÈLE ÉCONOMIQUE DES UNIVERSITÉS : UNE ONG PROPOSE QUELQUES PISTES DE RÉFLEXION,https://www.seneweb.com/news/Education/modele-economique-des-universites-une-on_n_461780.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_dec046a2bfe6a0250ff370375af7fcb022b95751.png,Education,La dotation exclusive de l’Etat rapportée aux coûts d’investissement et de fonctionnement élevé des universités publiques sénégalaises a comme résultat...,"76 
   Lectures","0 Commentaires 
   "
"THIERNO BAMBADO BA, UN VIRTUOSE DU XALAM, TIRE SA RÉFÉRENCE",https://www.seneweb.com/news/Necrologie/thierno-bambado-ba-un-virtuose-du-xalam-_n_461779.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_a16ba1ba5dd287b6ed5ba02ed9f3f980b2ebcb2f.jpg,Necrologie,"Le monde de la culture est en deuil, suite au rappel à Dieu du maitre du xalam. ","342 
   Lectures","5 Commentaires 
   "
Braquage à L’hôtel Riu Baobab :  Mamadou Racine Sy Et Cie Condamnent,https://www.seneweb.com/news/Societe/braquage-a-l-rsquo-hotel-riu-baobab-mama_n_461778.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_647450f5f97e9033c3c1522a00af87e542e0312a.png,Societe,"Une semaine après l’attaque armée au réceptif hôtelier Riu Baobab sur la Petite Côte, précisément à la Pointe Sarène, les professionnels du tourisme se...","325 
   Lectures","1 Commentaires 
   "
KAOLACK : DES PROGRÈS VISIBLES DANS LA LUTTE CONTRE LA MORTALITÉ INFANTILE,https://www.seneweb.com/news/Sante/kaolack-des-progres-visibles-dans-la-lut_n_461777.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_b93ec43f45bae04e5b478da861ccca8ef8ae6d8d.jpg,Sante," Un comité régional de développement (CRD) consacré à la dissémination du Plan stratégique de la santé reproductive, maternelle, néonatale...","77 
   Lectures","1 Commentaires 
   "
"DISPARITION DU PR. MADIOR DIOUF : ""IL ÉTAIT PLUS QU’UN ENSEIGNANT. C’ÉTAIT UN GUIDE, UN PENSEUR, UN HOMME ENGAGÉ..."" (AMADOU BA)",https://www.seneweb.com/news/Societe/disparition-du-pr-madior-diouf-quot-il-e_n_461776.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_6e41ba0b03284e9f04686d056f98eb0a85202beb.jpg,Societe,"L'ancien Premier ministre Amadou Ba s'est rendu auprès de la famille du défunt professeur Madior Diouf pour présenter ses condoléances, manifestant ainsi son...","239 
   Lectures","3 Commentaires 
   "
MIGRATION CIRCULAIRE EN ESPAGNE : VOICI LES RECOMMANDATIONS DU COLLECTIF DES ORGANISATIONS DE LA SOCIÉTÉ CIVILE POUR DES PROCÉDURES DE VISA JUSTES ET ÉQUITABLES,https://www.seneweb.com/news/Societe/migration-circulaire-en-espagne-voici-le_n_461775.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_73d8908b44f0c0d47a5e76599e308ab9d2015259.jpg,Societe," Une forte affluence est notée devant les bureaux d’accueil, d’orientation et de suivi (BAOS), depuis le lancement du du programme de migration...","369 
   Lectures","1 Commentaires 
   "
VENTE DE PRODUITS COSMÉTIQUES ILLICITES : ALIMA SUPPO ET CIE DÉFÉRÉS DEMAIN,https://www.seneweb.com/news/Societe/vente-de-produits-cosmetiques-illicites-_n_461774.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_252162470da2249a867781b374f8827706a13b28.png,Societe,"Arrêtés pour vente de produits cosmétiques illicites, Alima Sow et ses complices seront déférés demain mercredi au parquet de Pikine-Guédiawaye.","535 
   Lectures","2 Commentaires 
   "
"EST DE LA RDC: GOMA LIVRÉE AU M23 ET AUX PILLARDS APRÈS UN ""DÉLUGE DE FEU""",https://www.seneweb.com/news/Afrique/est-de-la-rdc-goma-livree-au-m23-et-aux-_n_461773.html,https://images.seneweb.com//content/seneweb/news/images/01-2025/thumbs/540x319crop_69559b6a761915ae13587a5e56c71c9914acf407.jpg,Afrique,"Dans le quartier de Himbi, les tirs ont baissé d'intensité. Et les premiers à circuler sur l'avenue déserte sont des combattants du M23, nouveaux maîtres des...","319 
   Lectures","1 Commentaires 
   "
