Titre,Lien_du_titre,image,jeg_meta_date,commentaire,champ
Est de la RDC: le gouvernement congolais veut « éviter le carnage » à Goma,https://walf-groupe.com/blog/2025/01/27/est-de-la-rdc-le-gouvernement-congolais-veut-eviter-le-carnage-a-goma/,, 2 jours plus tôt, 0 ,"Le gouvernement de la République démocratique du Congo (RDC) veut ""éviter le carnage à Goma"", a assuré lundi son porte-parole,..."
Kabirou MBODJE parle de Wari et Tigo: « c’est au sommet de l’Etat que ça s’est joué en notre défaveur »,https://walf-groupe.com/blog/2025/01/27/kabirou-mbodje-parle-de-wari-et-tigo-cest-au-sommet-de-letat-que-ca-sest-joue-en-notre-defaveur/,, 2 jours plus tôt, 0 ,"L'homme d'affaires Kabirou MBODJE est revenu, dans un entretien avec Le Quotidien, sur ses déconvenues au Sénégal avec son entreprise..."
Fronde au PUR: les responsables réclament la tête du SG Cheikh Tidiane YOUM,https://walf-groupe.com/blog/2025/01/27/fronde-au-pur-les-responsables-reclament-la-tete-du-sg-cheikh-tidiane-youm/,, 2 jours plus tôt, 0 ,Le Parti de l'unité et du rassemblement (PUR) fait actuellement face à un mouvement de fronde interne. Les Secrétaires généraux...
"Entendu par le Doyen des juges, Jérôme BANDIAKY cite le nom de Mimi TOURE",https://walf-groupe.com/blog/2025/01/27/entendu-par-le-doyen-des-juges-jerome-bandiaky-cite-le-nom-de-mimi-toure/,, 2 jours plus tôt, 0 ,"Entendu au fond, il y a quelques semaines, Jérôme BANDIAKY, alias ""Sniper"", homme de main du régime de Macky SALL,..."
"Serigne Fallou Mbacké DIOP, une énième victime de la sanglante répression de Macky SALL",https://walf-groupe.com/blog/2025/01/27/serigne-fallou-mbacke-diop-une-enieme-victime-de-la-sanglante-repression-de-macky-sall/,, 2 jours plus tôt, 0 ,"Serigne Fallou Mbacké DIOP a finalement succombé à sa blessure par balle contractée lors des événements de juin 2023, après..."
Perquisition: ce que la DIC a découvert au domicile de Tabaski NGOM,https://walf-groupe.com/blog/2025/01/27/perquisition-ce-que-la-dic-a-decouvert-au-domicile-de-tabaski-ngom/,, 2 jours plus tôt, 0 ,"La Division des investigations criminelles (DIC) a effectué une perquisition au domicile de l'Agent comptable de la CRSE, Tabaski NGOM,..."
Aïssata Tall SALL dénonce la levée d’immunité de Farba NGOM,https://walf-groupe.com/blog/2025/01/24/aissata-tall-sall-denonce-la-levee-dimmunite-de-farba-ngom/,, 5 jours plus tôt, 0 ,"Lors de la séance plénière consacrée à la levée d’immunité parlementaire du député Farba NGOM, Me Aïssata Tall SALL, son..."
Assemblée nationale: Farba NGOM livré au Pool judiciaire financier,https://walf-groupe.com/blog/2025/01/24/assemblee-nationale-farba-ngom-livre-au-pool-judiciaire-financier/,, 5 jours plus tôt, 0 ,"Ce vendredi 24 janvier 2024, l'Assemblée nationale du Sénégal a décidé de leverl'immunité parlementaire du député Mouhamadou NGOM, dit Farba...."
Immatriculation deux roues: plus de 18 000 demandes enregistrées (Ministre),https://walf-groupe.com/blog/2025/01/24/immatriculation-deux-roues-plus-de-18-000-demandes-enregistrees-ministre/,, 5 jours plus tôt, 0 ,"Depuis le début de l’opération d’enrôlement des motos de plus de 49cc non immatriculées, plus de 18 000 demandeurs ont..."
Dette du Sénégal envers l’OMS: le ministère des Affaires étrangères dément,https://walf-groupe.com/blog/2025/01/24/dette-du-senegal-envers-loms-le-ministere-des-affaires-etrangeres-dement/,, 5 jours plus tôt, 0 ,Le ministère de l'Intégration africaine et des Affaires étrangères (MIAAE) a fait un communiqué pour apporter des précisions à la...
